timestamp,storage_service,read_gbps,write_gbps,p95_latency_ms,timeout_count,health_state
2026-04-01T00:00:00Z,checkpoint-store,7.48,4.82,20.3,0,normal
2026-04-01T00:00:00Z,dataset-store,7.03,4.29,27.8,0,normal
2026-04-01T00:00:00Z,model-registry,8.85,3.34,28.4,0,normal
2026-04-01T00:15:00Z,checkpoint-store,9.85,5.04,18.7,0,normal
2026-04-01T00:15:00Z,dataset-store,8.19,3.94,22.5,0,normal
2026-04-01T00:15:00Z,model-registry,6.18,4.49,28.1,0,normal
2026-04-01T00:30:00Z,checkpoint-store,9.38,5.05,28.7,0,normal
2026-04-01T00:30:00Z,dataset-store,6.7,5.05,28.4,0,normal
2026-04-01T00:30:00Z,model-registry,6.78,3.35,20.5,0,normal
2026-04-01T00:45:00Z,checkpoint-store,9.52,5.48,26.4,0,normal
2026-04-01T00:45:00Z,dataset-store,6.6,4.83,33.9,0,normal
2026-04-01T00:45:00Z,model-registry,9.02,4.76,27.8,0,normal
2026-04-01T01:00:00Z,checkpoint-store,9.02,5.9,26.6,0,normal
2026-04-01T01:00:00Z,dataset-store,8.81,3.4,29.5,0,normal
2026-04-01T01:00:00Z,model-registry,7.83,4.48,26.2,0,normal
2026-04-01T01:15:00Z,checkpoint-store,8.32,4.2,25.2,0,normal
2026-04-01T01:15:00Z,dataset-store,8.87,4.76,24.5,0,normal
2026-04-01T01:15:00Z,model-registry,6.81,5.39,24.6,0,normal
2026-04-01T01:30:00Z,checkpoint-store,7.71,2.73,27.7,0,normal
2026-04-01T01:30:00Z,dataset-store,7.4,4.67,29.3,0,normal
2026-04-01T01:30:00Z,model-registry,9.1,4.35,32.9,0,normal
2026-04-01T01:45:00Z,checkpoint-store,9.69,3.76,26.6,0,normal
2026-04-01T01:45:00Z,dataset-store,8.14,4.2,27.6,0,normal
2026-04-01T01:45:00Z,model-registry,6.94,3.92,27.9,0,normal
2026-04-01T02:00:00Z,checkpoint-store,7.57,4.09,26.1,0,normal
2026-04-01T02:00:00Z,dataset-store,9.28,5.3,30.6,0,normal
2026-04-01T02:00:00Z,model-registry,8.76,4.62,28.6,0,normal
2026-04-01T02:15:00Z,checkpoint-store,6.37,3.55,25.2,0,normal
2026-04-01T02:15:00Z,dataset-store,9.1,3.81,24.3,0,normal
2026-04-01T02:15:00Z,model-registry,5.54,4.89,29.0,0,normal
2026-04-01T02:30:00Z,checkpoint-store,11.05,3.18,30.4,0,normal
2026-04-01T02:30:00Z,dataset-store,9.4,4.18,27.1,0,normal
2026-04-01T02:30:00Z,model-registry,7.08,3.97,29.7,0,normal
2026-04-01T02:45:00Z,checkpoint-store,6.73,3.45,18.4,0,normal
2026-04-01T02:45:00Z,dataset-store,7.91,5.27,25.4,0,normal
2026-04-01T02:45:00Z,model-registry,7.61,4.68,22.6,0,normal
2026-04-01T03:00:00Z,checkpoint-store,7.11,6.27,14.6,0,normal
2026-04-01T03:00:00Z,dataset-store,7.57,4.98,25.4,0,normal
2026-04-01T03:00:00Z,model-registry,8.31,3.0,26.9,0,normal
2026-04-01T03:15:00Z,checkpoint-store,8.82,5.57,25.0,0,normal
2026-04-01T03:15:00Z,dataset-store,8.81,4.21,33.5,0,normal
2026-04-01T03:15:00Z,model-registry,5.95,5.95,33.6,0,normal
2026-04-01T03:30:00Z,checkpoint-store,8.6,4.29,24.8,0,normal
2026-04-01T03:30:00Z,dataset-store,7.19,4.48,23.9,0,normal
2026-04-01T03:30:00Z,model-registry,8.49,5.2,25.0,0,normal
2026-04-01T03:45:00Z,checkpoint-store,9.99,3.8,27.9,0,normal
2026-04-01T03:45:00Z,dataset-store,9.75,4.62,31.6,0,normal
2026-04-01T03:45:00Z,model-registry,6.01,4.85,16.1,0,normal
2026-04-01T04:00:00Z,checkpoint-store,6.78,3.59,29.6,0,normal
2026-04-01T04:00:00Z,dataset-store,7.34,2.9,26.3,0,normal
2026-04-01T04:00:00Z,model-registry,7.2,1.76,23.1,0,normal
